#timestamp package-00 dram0 
3762.593039095 0 0 
3762.600058177 319091 55998 
3762.700114315 4468922 794988 
3762.800120314 4432850 802791 
3762.900103806 4421680 804520 
3763.000068845 4741016 813670 
3763.100116597 4985156 814770 
3763.200075712 4649707 795738 
3763.300104925 4437062 803051 
3763.400114564 4440662 802516 
3763.500109367 4453053 791744 
3763.600103543 4413563 798936 
3763.700112360 4431324 800985 
3763.800112431 4404102 792892 
3763.900105002 4442921 798507 
3764.000110672 4439991 797972 
3764.100120412 4397572 791086 
3764.200104338 4434254 801032 
3764.300109310 4428882 800802 
3764.400111694 4402455 789709 
3764.500105194 4437305 801567 
3764.600103043 4437306 802057 
3764.700099851 4434681 792983 
3764.800110394 4453602 805224 
3764.900104137 4391468 795065 
3765.000111333 4454517 797267 
3765.100108998 4423695 799808 
3765.200112184 4373707 791729 
3765.300113915 4430653 800221 
3765.400111939 4434254 804060 
3765.500106391 4417774 798492 
3765.600104871 4432972 805637 
3765.700103160 4442921 796992 
3765.800103732 4503650 804444 
3765.900107278 4432362 802378 
3766.000108677 4390065 799134 
3766.100111683 4437244 793856 
3766.200104134 4464832 802806 
3766.300114491 4369374 795829 
3766.400105314 4445301 804459 
3766.500107109 4467579 808284 
3766.600110896 4382374 794804 
3766.700108594 4422230 803464 
3766.800112324 4434498 805836 
3766.900103375 4372974 793795 
3767.000121052 4444752 803342 
3767.100105154 4436146 800266 
3767.200116214 4405079 794009 
3767.300102680 4427052 804367 
3767.400114335 4377491 796334 
3767.500104434 4412525 800114 
3767.600105018 4437367 799669 
3767.700108779 4447620 799731 
3767.800108327 4401356 791546 
3767.900104258 4414296 801904 
3768.000108968 4396229 794177 
3768.100112478 4452686 801827 
3768.200109081 4428394 801108 
3768.300104875 4440785 803785 
3768.400112439 4382008 798339 
3768.500109753 4432300 804076 
3768.600104503 4429738 803143 
3768.700101570 4400196 794391 
3768.800109370 4448231 800864 
3768.900103245 4430713 804856 
3769.000107752 4402638 794345 
3769.100112284 4426197 804765 
3769.200110305 4389821 799639 
3769.300113057 4414966 802210 
3769.400110511 4423268 804137 
3769.500108224 4382435 791745 
3769.600105078 4419117 801414 
3769.700112605 4436390 794835 
3769.800150475 3170158 530374 
3769.900072821 3284965 604993 
3770.000089539 4469532 947422 
3770.100136336 4288807 867403 
3770.200119236 4354176 872497 
3770.300123930 2773369 527483 
