#timestamp package-00 dram0 
2540.701816443 0 0 
2540.800064761 4421681 759308 
2540.900082639 4434253 766546 
2541.000103760 4329762 771579 
2541.100119150 4254384 773568 
2541.200108603 4214406 771242 
2541.300111072 4308949 766760 
2541.400117421 4340748 770355 
2541.500112833 4381092 761282 
2541.600103403 4196156 765199 
2541.700112037 4164296 766086 
2541.800114849 4134755 759140 
2541.900108144 4140004 767723 
2542.000101289 4133291 765490 
2542.100114672 4067860 759232 
2542.200101908 4117482 767387 
2542.300108291 4138601 765581 
2542.400101904 4070302 756570 
2542.500112021 4131642 766683 
2542.600112390 4092092 757549 
2542.700115354 4137013 767111 
2542.800104160 4195668 766301 
2542.900109983 4105214 769482 
2543.000102097 4067555 760931 
2543.100109295 4213552 765015 
2543.200110712 4107167 766209 
2543.300105866 4074758 758115 
2543.400109287 4157093 767647 
2543.500127883 4251454 762016 
2543.600109897 4176625 770523 
2543.700108511 4114309 763883 
2543.800103661 4082814 758268 
2543.900113618 4109609 772329 
2544.000102912 4117116 767448 
2544.100111577 4071766 758911 
2544.200106367 4120778 762842 
2544.300141983 4133047 758008 
2544.400126985 4138234 769759 
2544.500104021 4121266 767417 
2544.600125221 4069203 766760 
2544.700108724 4112111 760348 
2544.800100779 4130117 763134 
2544.900102878 4097462 761710 
2545.000106690 4985339 786267 
2545.100102966 4753833 768596 
2545.200104219 4203664 755606 
2545.300099859 4090566 762995 
2545.400103279 4075795 760441 
2545.500103273 4038258 753785 
2545.600104022 4077566 760288 
2545.700103435 4079274 762812 
2545.800103926 4109731 753708 
2545.900100067 4092152 762292 
2546.000102945 4080739 761802 
2546.100101527 4055166 752577 
2546.200102204 4073476 764602 
2546.300114871 4087636 765428 
2546.400101911 4042775 757809 
2546.500104245 4076772 764144 
2546.600103286 4076283 761572 
2546.700103422 4041067 757396 
2546.800112336 4108021 763685 
2546.900109352 4119313 764755 
2547.000111786 4066946 754412 
2547.100108722 4099476 760043 
2547.200104255 4111928 764097 
2547.300111102 4085195 755912 
2547.400107724 4109853 763332 
2547.500111236 4077443 756876 
2547.600112792 4102223 763439 
2547.700113681 4109975 764832 
2547.800114454 4090261 755698 
2547.900105322 4114979 762858 
2548.000115705 4121816 763806 
2548.100103750 4061818 756616 
2548.200110730 4115224 764801 
2548.300099447 4134511 763592 
2548.400108804 4086720 757396 
2548.500112746 4131154 765597 
2548.600101137 4118398 764709 
2548.700101559 4087392 757672 
2548.800114100 4189137 764648 
2548.900103665 4120351 764449 
2549.000108741 4072682 758360 
2549.100103144 4124318 765153 
2549.200108430 4131154 765566 
2549.300105322 4104116 754366 
2549.400103267 4142995 766117 
2549.500109494 4128590 765429 
2549.600112297 4071096 754336 
2549.700103426 4120961 765045 
2549.800113790 4059865 758192 
2549.900107247 4127309 766224 
2550.000108811 4127858 762169 
2550.100103055 4115773 764985 
2550.200103298 4059011 757671 
2550.300109792 4117604 766852 
2550.400102460 4071400 760012 
2550.500108219 4117299 769422 
2550.600106080 4116872 771257 
2550.700108152 4058828 768917 
2550.800107920 4112904 762200 
2550.900100113 4110707 770049 
2551.000102773 4058096 761848 
2551.100103094 4115345 769621 
2551.200102533 4099355 770477 
2551.300111323 4098623 763103 
2551.400109700 4148732 763210 
2551.500112323 4112599 764373 
2551.600108547 4074208 765122 
2551.700101402 4106008 756845 
2551.800111366 4208851 767494 
2551.900100328 4087331 758957 
2552.000102244 4114247 765214 
2552.100110774 4097219 767218 
2552.200107468 4074086 762262 
2552.300101940 4131459 774746 
2552.400108128 4081899 761297 
2552.500108712 4127004 770432 
2552.600103963 4104176 769131 
2552.700106508 4106130 773507 
2552.800102905 4063832 762903 
2552.900112305 4107961 772130 
2553.000105021 4075185 766668 
2553.100101865 4103078 766989 
2553.200105761 4105641 767356 
2553.300100793 4060536 759140 
2553.400107993 4130727 765765 
2553.500104336 4087392 768825 
2553.600112616 4061574 764786 
2553.700111757 4105092 769544 
2553.800101855 4100148 769376 
2553.900104353 4080434 762628 
2554.000111919 4109426 769652 
2554.100101452 4100575 770324 
2554.200107853 4064016 762812 
2554.300107127 4113454 770279 
2554.400112382 4098378 764648 
2554.500111660 4103139 771120 
2554.600102375 4101124 769880 
2554.700123397 4070363 762032 
2554.800103046 4174978 767158 
2554.900111096 4113270 766438 
2555.000104224 4095510 767356 
2555.100102998 4036183 758253 
2555.200119821 4094167 767922 
2555.300101113 4116994 766943 
2555.400102610 4077443 759752 
2555.500102247 4086599 768473 
2555.600101995 4080067 767678 
2555.700107906 4059255 760150 
2555.800112623 4118703 768794 
2555.900101200 4066335 759125 
2556.000101774 4091969 769452 
2556.100104856 4087941 766163 
2556.200105925 4102773 765979 
2556.300099857 4099416 762476 
2556.400114492 4108510 769926 
2556.500103030 4037221 761803 
2556.600102925 4099599 769590 
2556.700101568 4101064 769957 
2556.800102949 4097828 766989 
2556.900103724 4058645 760180 
2557.000102028 4098866 765429 
2557.100101489 4093007 765933 
2557.200100984 4064382 758589 
2557.300099054 4100331 764694 
2557.400103534 4104665 766530 
2557.500101440 4064199 759951 
2557.600101188 4101124 768642 
2557.700101090 4111867 768794 
2557.800103898 4143544 765107 
2557.900101686 4105764 769697 
2558.000116314 4060780 763547 
2558.100102017 4110464 770569 
2558.200103802 4127369 770676 
2558.300102130 4116872 768458 
2558.400101318 4072011 761680 
2558.500133783 4103872 770003 
2558.600103286 4077077 763210 
2558.700102820 4134816 771166 
2558.800104731 4147450 771349 
2558.900102123 4100453 763639 
2559.000102607 4168386 771961 
2559.100110292 4166066 768381 
2559.200101192 4131642 763853 
2559.300086832 4194325 774012 
2559.400109472 4247365 776169 
2559.500112209 4234974 772527 
2559.600109957 3092827 521348 
2559.700131046 4379688 931647 
2559.800120370 4455799 876568 
2559.900132573 4121511 818611 
2560.000142257 5003710 857351 
2560.100119312 4289967 815888 
